sample_id,position_id,target_pos_to_boxb,target_dist
i79_p3,A2,5,0
i79_p3,A8,5,0
i79_p3,A10,5,0
i79_p3,A13,5,0
i79_p3,A2,5,10
i79_p3,A8,5,10
i79_p3,A10,5,10
i79_p3,A13,5,10
i79_p3,A2,3,20
i79_p3,A8,3,20
i79_p3,A10,3,20
i79_p3,A13,3,20
i79_p3,A2,3,30
i79_p3,A8,3,30
i79_p3,A10,3,30
i79_p3,A13,3,30
i79_p8,A2,5,0
i79_p8,A8,5,0
i79_p8,A10,5,0
i79_p8,A13,5,0
i79_p8,A2,5,10
i79_p8,A8,5,10
i79_p8,A10,5,10
i79_p8,A13,5,10
i79_p8,A2,3,20
i79_p8,A8,3,20
i79_p8,A10,3,20
i79_p8,A13,3,20
i79_p8,A2,3,30
i79_p8,A8,3,30
i79_p8,A10,3,30
i79_p8,A13,3,30
